checkpoint (in update steps),relation_type,metric_name,metric
500000,place_of_birth,P@ks_str,"{1: 0.1223, 5: 0.2641, 10: 0.3261}"
500000,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0863, 10: 0.1649}"
500000,place_of_death,P@ks_str,"{1: 0.02, 5: 0.0385, 10: 0.0493}"
440000,place_of_birth,P@ks_str,"{1: 0.0998, 5: 0.23, 10: 0.2808}"
440000,date_of_birth,P@ks_str,"{1: 0.0173, 5: 0.085, 10: 0.1534}"
440000,place_of_death,P@ks_str,"{1: 0.032400000000000005, 5: 0.0724, 10: 0.0863}"
80000,place_of_birth,P@ks_str,"{1: 0.0761, 5: 0.2005, 10: 0.26289999999999997}"
80000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0684, 10: 0.1297}"
80000,place_of_death,P@ks_str,"{1: 0.0062, 5: 0.0169, 10: 0.024700000000000003}"
860000,place_of_birth,P@ks_str,"{1: 0.0919, 5: 0.2047, 10: 0.2421}"
860000,date_of_birth,P@ks_str,"{1: 0.0134, 5: 0.0735, 10: 0.154}"
860000,place_of_death,P@ks_str,"{1: 0.0385, 5: 0.0678, 10: 0.0863}"
920000,place_of_birth,P@ks_str,"{1: 0.09480000000000001, 5: 0.1859, 10: 0.21760000000000002}"
920000,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0837, 10: 0.1585}"
920000,place_of_death,P@ks_str,"{1: 0.0123, 5: 0.032400000000000005, 10: 0.0478}"
960000,place_of_birth,P@ks_str,"{1: 0.1057, 5: 0.20010000000000003, 10: 0.24}"
960000,date_of_birth,P@ks_str,"{1: 0.0141, 5: 0.0728, 10: 0.1661}"
960000,place_of_death,P@ks_str,"{1: 0.0169, 5: 0.037000000000000005, 10: 0.0416}"
820000,place_of_birth,P@ks_str,"{1: 0.12560000000000002, 5: 0.24, 10: 0.2787}"
820000,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0703, 10: 0.138}"
820000,place_of_death,P@ks_str,"{1: 0.032400000000000005, 5: 0.0616, 10: 0.07400000000000001}"
680000,place_of_birth,P@ks_str,"{1: 0.1007, 5: 0.2026, 10: 0.2396}"
680000,date_of_birth,P@ks_str,"{1: 0.0192, 5: 0.0658, 10: 0.1393}"
680000,place_of_death,P@ks_str,"{1: 0.0077, 5: 0.0139, 10: 0.0216}"
400000,place_of_birth,P@ks_str,"{1: 0.0861, 5: 0.1909, 10: 0.2267}"
400000,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.08560000000000001, 10: 0.1572}"
400000,place_of_death,P@ks_str,"{1: 0.0062, 5: 0.0108, 10: 0.0139}"
540000,place_of_birth,P@ks_str,"{1: 0.1119, 5: 0.22210000000000002, 10: 0.2779}"
540000,date_of_birth,P@ks_str,"{1: 0.0134, 5: 0.0696, 10: 0.1393}"
540000,place_of_death,P@ks_str,"{1: 0.029300000000000003, 5: 0.0601, 10: 0.07400000000000001}"
1600,place_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1600,date_of_birth,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
1600,place_of_death,P@ks_str,"{1: 0.0, 5: 0.0, 10: 0.0}"
420000,place_of_birth,P@ks_str,"{1: 0.0682, 5: 0.1464, 10: 0.1843}"
420000,date_of_birth,P@ks_str,"{1: 0.0166, 5: 0.0767, 10: 0.1572}"
420000,place_of_death,P@ks_str,"{1: 0.032400000000000005, 5: 0.0524, 10: 0.0616}"
560000,place_of_birth,P@ks_str,"{1: 0.1273, 5: 0.2583, 10: 0.3166}"
560000,date_of_birth,P@ks_str,"{1: 0.0128, 5: 0.0684, 10: 0.1482}"
560000,place_of_death,P@ks_str,"{1: 0.0308, 5: 0.057, 10: 0.0693}"
940000,place_of_birth,P@ks_str,"{1: 0.1177, 5: 0.21960000000000002, 10: 0.25120000000000003}"
940000,date_of_birth,P@ks_str,"{1: 0.0147, 5: 0.0722, 10: 0.1565}"
940000,place_of_death,P@ks_str,"{1: 0.029300000000000003, 5: 0.0616, 10: 0.0724}"
800000,place_of_birth,P@ks_str,"{1: 0.1165, 5: 0.22210000000000002, 10: 0.255}"
800000,date_of_birth,P@ks_str,"{1: 0.0115, 5: 0.0658, 10: 0.1514}"
800000,place_of_death,P@ks_str,"{1: 0.0401, 5: 0.0616, 10: 0.077}"
180000,place_of_birth,P@ks_str,"{1: 0.0636, 5: 0.2022, 10: 0.2646}"
180000,date_of_birth,P@ks_str,"{1: 0.015300000000000001, 5: 0.0728, 10: 0.1514}"
180000,place_of_death,P@ks_str,"{1: 0.0139, 5: 0.0339, 10: 0.0385}"
240000,place_of_birth,P@ks_str,"{1: 0.0795, 5: 0.213, 10: 0.2808}"
240000,date_of_birth,P@ks_str,"{1: 0.0179, 5: 0.0703, 10: 0.1316}"
