checkpoint (in update steps),relation_type,metric_name,metric
787848,N-1,P@ks_str,"{1: 0.03584347826086956, 5: 0.10129130434782609, 10: 0.15368260869565217}"
787848,N-M,P@ks_str,"{1: 0.07475625, 5: 0.15841875000000002, 10: 0.19458125}"
811020,1-1,P@ks_str,"{1: 0.1068, 5: 0.23035, 10: 0.2781}"
811020,N-1,P@ks_str,"{1: 0.036895652173913045, 5: 0.1054608695652174, 10: 0.1546782608695652}"
811020,N-M,P@ks_str,"{1: 0.07804375, 5: 0.14055625, 10: 0.17417499999999997}"
834192,1-1,P@ks_str,"{1: 0.09645, 5: 0.19815, 10: 0.2375}"
834192,N-1,P@ks_str,"{1: 0.04454782608695652, 5: 0.11307826086956521, 10: 0.15958695652173913}"
834192,N-M,P@ks_str,"{1: 0.08333124999999998, 5: 0.145275, 10: 0.18253124999999998}"
857364,1-1,P@ks_str,"{1: 0.0952, 5: 0.2104, 10: 0.26455}"
857364,N-1,P@ks_str,"{1: 0.04744782608695653, 5: 0.11716956521739133, 10: 0.16829999999999998}"
857364,N-M,P@ks_str,"{1: 0.08194375000000001, 5: 0.15114375, 10: 0.18806874999999998}"
880536,1-1,P@ks_str,"{1: 0.11, 5: 0.2358, 10: 0.28395000000000004}"
880536,N-1,P@ks_str,"{1: 0.04650869565217393, 5: 0.11873043478260875, 10: 0.17619130434782607}"
880536,N-M,P@ks_str,"{1: 0.08064374999999999, 5: 0.147775, 10: 0.18419375}"
903708,1-1,P@ks_str,"{1: 0.10225, 5: 0.23835, 10: 0.2875}"
903708,N-1,P@ks_str,"{1: 0.048795652173913046, 5: 0.12690434782608695, 10: 0.18386521739130438}"
903708,N-M,P@ks_str,"{1: 0.07838125, 5: 0.15339375, 10: 0.19416875}"
926880,1-1,P@ks_str,"{1: 0.10319999999999999, 5: 0.20815, 10: 0.2503}"
926880,N-1,P@ks_str,"{1: 0.04132608695652174, 5: 0.11241304347826088, 10: 0.16329565217391304}"
926880,N-M,P@ks_str,"{1: 0.0789625, 5: 0.15207500000000002, 10: 0.18838124999999997}"
950052,1-1,P@ks_str,"{1: 0.10865, 5: 0.25695, 10: 0.30965}"
950052,N-1,P@ks_str,"{1: 0.04269565217391304, 5: 0.11359130434782609, 10: 0.16093913043478264}"
950052,N-M,P@ks_str,"{1: 0.07760625000000002, 5: 0.15069999999999997, 10: 0.18900625000000001}"
973224,1-1,P@ks_str,"{1: 0.12555, 5: 0.258, 10: 0.31495}"
973224,N-1,P@ks_str,"{1: 0.04719565217391305, 5: 0.12277391304347827, 10: 0.17563478260869567}"
973224,N-M,P@ks_str,"{1: 0.0805625, 5: 0.15536875, 10: 0.19254375}"
996396,1-1,P@ks_str,"{1: 0.1269, 5: 0.25055, 10: 0.30965}"
996396,N-1,P@ks_str,"{1: 0.05037391304347826, 5: 0.12871739130434784, 10: 0.18546521739130437}"
996396,N-M,P@ks_str,"{1: 0.08337499999999999, 5: 0.15663749999999996, 10: 0.19439374999999998}"
1019568,1-1,P@ks_str,"{1: 0.12304999999999999, 5: 0.2484, 10: 0.31174999999999997}"
1019568,N-1,P@ks_str,"{1: 0.05075217391304348, 5: 0.12829130434782607, 10: 0.18516956521739134}"
1019568,N-M,P@ks_str,"{1: 0.0846125, 5: 0.15806874999999998, 10: 0.1958125}"
